game_id,play_id,season,week,posteam,defteam,score_diff_pre_td,time_remaining,actual_decision,decision_success,optimal_decision,wp_pat,wp_2pt,wp_margin,wp_margin_signed,prob_2pt_better,p_pat,p_2pt,coach_correct,decision_clarity,confidence,confidence_category,mistake_type,wp_cost
2021_18_LAC_LV,4644.0,2021,18,LAC,LV,-7,0,pat,1,two_point,0.46663370521953207,0.5176314362371798,0.05099773101764771,0.05099773101764771,1.0,0.9332674104390641,0.5176314362371798,False,clear,1.0,obvious,clear_mistake,0.05099773101764771
2024_15_WAS_NO,4395.0,2024,15,NO,WAS,-7,0,two_point,0,pat,0.4717979148365534,0.45463928340593235,0.017158631430621074,-0.017158631430621074,0.0555,0.943759874089147,0.45463928340593235,False,close_call,0.9445,clear,difference_of_opinion,0.017158631430621074
2024_09_NE_TEN,4314.0,2024,9,NE,TEN,-7,0,pat,1,two_point,0.44848740569048745,0.4635654737487477,0.01507806805826023,0.01507806805826023,0.928,0.8969748113809749,0.4635654737487477,False,close_call,0.928,clear,difference_of_opinion,0.01507806805826023
2020_06_HOU_TEN,4204.0,2020,6,TEN,HOU,-7,4,pat,1,two_point,0.47245529177087636,0.4865900185608778,0.01413472679000144,0.01413472679000144,0.921,0.9461012712727497,0.4873835303187732,False,close_call,0.921,clear,difference_of_opinion,0.01413472679000144
2021_05_CLE_LAC,4033.0,2021,5,LAC,CLE,-7,195,pat,0,two_point,0.4339535615636729,0.44770349584040053,0.01374993427672766,0.01374993427672766,1.0,0.8025146580627507,0.4951474719953859,False,close_call,1.0,obvious,difference_of_opinion,0.01374993427672766
2021_05_CLE_LAC,3631.0,2021,5,LAC,CLE,-7,444,pat,1,two_point,0.43990754037012647,0.45274409620508,0.012836555834953522,0.012836555834953522,1.0,0.8025146580627507,0.4951474719953859,False,close_call,1.0,obvious,difference_of_opinion,0.012836555834953522
2022_12_BAL_JAX,4081.0,2022,12,JAX,BAL,-7,14,two_point,1,pat,0.46483262416513577,0.45238416651335656,0.01244845765177921,-0.01244845765177921,0.074,0.9435546158004523,0.45625463384437104,False,close_call,0.926,clear,difference_of_opinion,0.01244845765177921
2020_03_CIN_PHI,4269.0,2020,3,PHI,CIN,-7,21,pat,1,two_point,0.4583912852779613,0.47069604463121817,0.012304759353256867,0.012304759353256867,0.982,0.9515218131863566,0.49602601248521705,False,close_call,0.982,obvious,difference_of_opinion,0.012304759353256867
2019_06_WAS_MIA,4194.0,2019,6,MIA,WAS,-7,6,two_point,0,pat,0.47058650750590486,0.4586451711386712,0.011941336367233657,-0.011941336367233657,0.129,0.9436353864551459,0.45947307905805485,False,close_call,0.871,clear,difference_of_opinion,0.011941336367233657
2018_13_CHI_NYG,4781.0,2018,13,CHI,NYG,-7,0,pat,1,two_point,0.45873114724897,0.4705774050904152,0.011846257841445162,0.011846257841445162,0.8815,0.91746229449794,0.4705774050904152,False,close_call,0.8815,clear,difference_of_opinion,0.011846257841445162
2021_05_CLE_LAC,3145.0,2021,5,LAC,CLE,-6,682,pat,1,two_point,0.507066563425371,0.518364120137872,0.011297556712500989,0.011297556712500989,1.0,0.8025146580627507,0.4951474719953859,False,close_call,1.0,obvious,difference_of_opinion,0.011297556712500989
2016_05_SD_OAK,3541.0,2016,5,LAC,LV,-10,381,pat,1,two_point,0.2643411661236126,0.27424051485855194,0.009899348734939362,0.009899348734939362,1.0,0.9023595381496425,0.5176314362371798,False,close_call,1.0,obvious,difference_of_opinion,0.009899348734939362
2016_07_SD_ATL,3340.0,2016,7,LAC,ATL,-10,359,pat,1,two_point,0.263082526608072,0.27272085225560283,0.00963832564753081,0.00963832564753081,1.0,0.9023595381496425,0.5146057556521402,False,close_call,1.0,obvious,difference_of_opinion,0.00963832564753081
2019_17_OAK_DEN,4356.0,2019,17,LV,DEN,-7,7,two_point,0,pat,0.46998610732179874,0.4610576710255168,0.008928436296281927,-0.008928436296281927,0.1925,0.9437605952342178,0.46231595062301906,False,close_call,0.8075,clear,difference_of_opinion,0.008928436296281927
2024_16_NE_BUF,4329.0,2024,16,NE,BUF,-10,73,pat,1,two_point,0.24680796508415914,0.25530604652835137,0.00849808144419223,0.00849808144419223,1.0,0.8969748113809749,0.494793849806219,False,close_call,1.0,obvious,difference_of_opinion,0.00849808144419223
2023_03_NO_GB,4177.0,2023,3,GB,NO,-6,176,pat,1,two_point,0.507589925887,0.5157602253020678,0.00817029941506775,0.00817029941506775,1.0,0.8632038529599168,0.4921170149652224,False,close_call,1.0,obvious,difference_of_opinion,0.00817029941506775
2018_05_MIN_PHI,3850.0,2018,5,PHI,MIN,-9,69,pat,1,two_point,0.3071874909269607,0.315152500501805,0.007965009574844306,0.007965009574844306,1.0,0.9515218131863566,0.5144683443164214,False,close_call,1.0,obvious,difference_of_opinion,0.007965009574844306
2023_11_SEA_LA,3592.0,2023,11,LA,SEA,-9,458,pat,1,two_point,0.32214061441283964,0.32986842567209557,0.007727811259255923,0.007727811259255923,1.0,0.8813072980545893,0.487899479937177,False,close_call,1.0,obvious,difference_of_opinion,0.007727811259255923
2023_05_GB_LV,2260.0,2023,5,GB,LV,-7,1407,pat,1,two_point,0.46610781675890994,0.47378803557121624,0.007680218812306294,0.007680218812306294,1.0,0.8632038529599168,0.5074367987488791,False,close_call,1.0,obvious,difference_of_opinion,0.007680218812306294
2019_01_LA_CAR,4496.0,2019,1,CAR,LA,-10,118,pat,1,two_point,0.2492820801260051,0.25684885157771564,0.00756677145171053,0.00756677145171053,1.0,0.8969748113809749,0.48717510323495183,False,close_call,1.0,obvious,difference_of_opinion,0.00756677145171053
