team,market_index,avg_wins,base_win_value,marginal_playoff_prob,playoff_option_value,rational_win_value,rational_win_index,gamma_mean,efficiency_mean,implied_win_value,implied_win_index
NYY,1.476120622058529,93.6470588235294,2214180.9330877936,0.03397777766328883,1019333.3298986648,3233514.2629864584,1.378877696044976,0.7465742862405721,0.4759291035009078,4219520.376793762,2.02662548670063
LAD,1.4192264163114143,87.0,2128839.6244671214,0.10754449965342462,3226334.9896027385,5355174.61406986,2.2836240180821856,0.3829420000424282,0.6846921497661663,2933185.9305435685,1.4088021465103708
STL,1.348279795502555,91.17647058823529,2022419.6932538324,0.09404426654191414,2821327.9962574244,4843747.689511256,2.065534619961077,0.1104816941918879,0.8985134561909457,2233631.8092946922,1.072807984887975
SFG,1.3166448055291706,86.0,1974967.208293756,0.07833235149025944,2349970.544707783,4324937.753001539,1.8442968607439454,0.1573974697103226,0.8575594260940603,2340921.4883002373,1.124338959623494
LAA,1.2275036530855583,87.6470588235294,1841255.4796283375,0.12415604960586668,3724681.4881760003,5565936.967804338,2.373500074005935,0.055935764128882,0.9489574697209202,2115059.500420024,1.0158579901672629
CHC,1.2169978724326174,79.58823529411765,1825496.808648926,0.003210959064002997,96328.77192008992,1921825.5805690158,0.8195301499266653,0.2932497934156002,0.7486704003318689,2681555.332075679,1.2879445753765977
BOS,1.1763057119293303,88.6470588235294,1764458.5678939954,0.1381814826951333,4145444.480853999,5909903.048747994,2.5201786158754733,0.4601848380056715,0.6337049680846202,3168733.618264771,1.5219351343007796
NYM,1.122673804572133,80.88235294117646,1684010.7068581993,0.006501830954992893,195054.9286497868,1879065.6355079862,0.8012958915522159,0.3075367244115092,0.7382054560065557,2720141.510765845,1.3064774241804458
PHI,1.105455228684755,82.94117647058823,1658182.8430271326,0.019373664708709677,581209.9412612903,2239392.784288423,0.9549513352346999,0.1908632650354562,0.8299246079552258,2420587.902532339,1.1626025467375132
COL,1.0690763571001631,74.82352941176471,1603614.5356502447,0.00023106957894025352,6932.087368207605,1610546.6230184522,0.686790481285717,-0.1197917516363657,1.1317645637926823,1774210.3113596418,0.8521489445918266
TEX,1.04941055383121,82.11764705882354,1574115.8307468148,0.012603215936620636,378096.4780986191,1952212.3088454339,0.8324880584028239,0.0260895188481179,0.97793532191173,2052865.6588908073,0.9859864376912666
SEA,1.021864563767105,80.0,1532796.8456506575,0.004022662868909562,120679.88606728686,1653476.7317179444,0.705097303077758,0.173061139851934,0.8447663103887129,2377877.588807502,1.1420888857973315
MIL,1.0192457084115765,76.11764705882354,1528868.5626173648,0.00047321387280898513,14196.416184269554,1543064.9788016344,0.6580140706886989,-0.1748070523220408,1.1963103779955548,1679238.0153582157,0.8065339792830871
ATL,1.0153759856007782,86.82352941176471,1523063.9784011673,0.1024855911364123,3074567.7340923687,4597631.712493536,1.9605826068418843,0.0190028074274055,0.985676084807484,2038369.0197998318,0.9790237368082824
HOU,1.0081023839112793,77.05882352941177,1512153.575866919,0.000796592618118438,23897.77854355314,1536051.354410472,0.655023228696099,-0.1452985456461564,1.1611163330837215,1729528.1660339448,0.8306882176770943
DET,1.0056898801997172,78.58823529411765,1508534.8202995758,0.0018532576514503026,55597.72954350908,1564132.549843085,0.6669979815226251,0.1362200970786801,0.8760068415228853,2291868.165169501,1.1007787665240947
SDP,0.9648888964819826,76.52941176470588,1447333.3447229739,0.0005943506882480772,17830.520647442318,1465163.865370416,0.6247944529381442,-0.2696808587573646,1.3145216022081958,1527246.3181938946,0.7335327327589132
ARI,0.9588026380751945,78.70588235294117,1438203.9571127917,0.0019773126765834067,59319.3802975022,1497523.337410294,0.6385936047657189,-0.0780512170488421,1.0853255381068911,1849834.107616968,0.8884708720172867
BAL,0.9577567553790914,75.11764705882354,1436635.1330686372,0.0002719683249987261,8159.049749961783,1444794.182818599,0.616108144896232,0.0589045071588287,0.9469336559998331,2121347.89826993,1.0188782925275082
MIN,0.910784142905641,80.23529411764706,1366176.2143584616,0.004574053087996967,137221.592639909,1503397.8069983707,0.6410986733790895,-0.1359026298122551,1.150078050640298,1745855.250955082,0.8385300772890736
CIN,0.8835412655410994,77.41176470588235,1325311.898311649,0.000968219495845835,29046.58487537505,1354358.483187024,0.5775433639779535,-0.1785055027289627,1.2010245521299658,1673038.9074498033,0.8035565626669497
TOR,0.8765979224036875,81.3529411764706,1314896.8836055312,0.00838130221333201,251439.0663999603,1566335.9500054915,0.6679375844104746,-0.0004019650969534,1.0049958044304104,1999196.2313603852,0.9602091407529747
CHW,0.8420294058054971,82.29411764705883,1263044.1087082457,0.013832790887622636,414983.7266286791,1678027.8353369248,0.71556670770696,0.0888642916699059,0.9191240627296746,2185864.6524816873,1.0498655343770427
CLE,0.8116645875376314,81.47058823529412,1217496.881306447,0.008927894120789046,267836.8236236714,1485333.7049301185,0.633395541301983,-0.2208111215934107,1.2522259910363611,1603736.2431216945,0.7702706597012847
PIT,0.7895170250605705,73.3529411764706,1184275.5375908557,0.00010226951596788241,3068.0854790364724,1187343.6230698922,0.5063226898774201,-0.3695466749502937,1.453326214753069,1382095.0575940935,0.6638169314616559
WSN,0.7576778656628127,77.52941176470588,1136516.798494219,0.001033254463581957,30997.633907458712,1167514.4324016778,0.4978668654958784,-0.0985355446091131,1.108391703671505,1812326.9656300852,0.8704562819463472
OAK,0.7453928806086548,85.88235294117646,1118089.3209129823,0.07498846247374544,2249653.8742123633,3367743.1951253456,1.4361173633657265,-0.4068695977766738,1.5081206318793663,1331461.99488736,0.6394979932440498
KCR,0.7111699220801404,72.52941176470588,1066754.8831202106,6.478191637607759e-05,1943.4574912823277,1068698.340611493,0.45572840749075605,-0.1132157629870949,1.1255367201369515,1785915.9440997741,0.8577711318384101
MIA,0.6120002955636585,77.70588235294117,918000.4433454878,0.0011390542938095169,34171.628814285505,952172.0721597733,0.40603774293712996,-0.4543652868960913,1.5809970237599689,1269701.576422719,0.6098346128233478
TBR,0.5802030539664416,75.76470588235294,870304.5809496624,0.00038920795611576363,11676.23868347291,881980.8196331352,0.3761058655137561,-0.3592789101958195,1.438828116795375,1396359.1895710828,0.6706679597371004
