season,service_time_class,surplus_value,salary,market_value,war,n_players
2000,arb,2864990.584126383,2904696.9768892587,5769687.561015642,1.6808383233532933,167
2000,free_agent,4.3884011022016113e-10,5871639.584993052,5871639.584993052,1.7105392156862744,408
2000,pre_arb,4532231.413511079,685358.5062901701,5217589.919801249,1.52,100
2001,arb,3036247.8192089093,2668041.446591125,5704289.265800035,1.538888888888889,180
2001,free_agent,-3.5261588269158416e-10,6762883.095537237,6762883.095537236,1.8244736842105262,380
2001,pre_arb,5118032.1184581285,697382.1885529144,5815414.307011043,1.568867924528302,106
2002,arb,3713295.935144928,3326993.460755866,7040289.395900795,1.8132183908045978,174
2002,free_agent,2.577133078611534e-10,6720235.20478387,6720235.20478387,1.730788804071247,393
2002,pre_arb,4690116.045018973,703035.7234047336,5393151.768423706,1.389,100
2003,arb,3852709.925196484,3341791.2422449463,7194501.1674414305,1.7239795918367347,196
2003,free_agent,-1.9662641488195425e-11,7352876.811115584,7352876.811115584,1.7619302949061664,373
2003,pre_arb,5984441.005561413,701841.1366205921,6686282.142182006,1.6021978021978023,91
2004,arb,4143448.1558423834,3385649.6907042833,7529097.846546667,1.6983957219251338,187
2004,free_agent,-1.8150615086898707e-09,7875812.088146245,7875812.088146244,1.7766066838046273,389
2004,pre_arb,5880452.018146771,721477.4283956911,6601929.446542463,1.489247311827957,93
2005,arb,4306994.391699993,3981501.4307730934,8288495.8224730855,1.8874213836477989,159
2005,free_agent,9.913398001169294e-10,7649750.169407378,7649750.169407379,1.7419689119170985,386
2005,pre_arb,5727768.646594864,706103.7354281462,6433872.3820230095,1.4650943396226417,106
2006,arb,4504035.796813221,4237998.243039773,8742034.039852994,1.8566037735849057,159
2006,free_agent,-1.8036613861719766e-10,7949399.262423829,7949399.262423829,1.6882666666666668,375
2006,pre_arb,5822272.187424177,699661.744357691,6521933.931781868,1.3851063829787236,141
2007,arb,4333250.413165501,3833080.199020923,8166330.612186425,1.5967914438502675,187
2007,free_agent,-1.7925521544136927e-09,8304570.564240785,8304570.5642407825,1.6238219895287958,382
2007,pre_arb,7288798.9330126615,711843.9599546426,8000642.892967304,1.5643939393939394,132
2008,arb,4503896.438726171,4086039.2630277323,8589935.701753903,1.5751243781094528,201
2008,free_agent,-1.3296361550811893e-09,9081649.572800513,9081649.572800513,1.665289256198347,363
2008,pre_arb,8716771.799449662,688346.0355385497,9405117.834988212,1.7246031746031747,126
2009,arb,4862855.386442493,4345273.766444547,9208129.152887039,1.6632911392405063,237
2009,free_agent,-1.4084614288639014e-09,8946633.050483253,8946633.050483253,1.6160563380281692,355
2009,pre_arb,7609828.970476926,714809.8042482248,8324638.774725151,1.5037037037037038,108
2010,arb,5695844.54849797,5001590.766664264,10697435.315162234,1.8645320197044335,203
2010,free_agent,-1.8303647945060843e-09,9763615.404413244,9763615.404413244,1.7017699115044247,339
2010,pre_arb,8573135.170092827,718421.9893385392,9291557.159431364,1.6194915254237288,118
2011,arb,5818502.504016322,5065124.95376302,10883627.457779342,1.788532110091743,218
2011,free_agent,1.1083423433934942e-09,10189179.022928985,10189179.022928985,1.6744117647058823,340
2011,pre_arb,7893161.814553986,681479.0443693734,8574640.858923359,1.4090909090909092,132
2012,arb,5628679.658290835,4655601.159566354,10284280.81785719,1.5269058295964126,223
2012,free_agent,-1.1748220078707384e-09,11542723.36868307,11542723.368683068,1.7137466307277627,371
2012,pre_arb,8924937.428412076,705464.8038132625,9630402.232225338,1.4298245614035088,114
2013,arb,6538830.677921126,5767877.272202979,12306707.950124104,1.7077981651376146,218
2013,free_agent,-1.3740824871375913e-09,11411760.363362592,11411760.363362592,1.5836065573770493,366
2013,pre_arb,9928884.871454066,700236.6471126956,10629121.518566761,1.475,128
2014,arb,6290206.764316798,5534929.620849124,11825136.385165922,1.5394495412844038,218
2014,free_agent,-8.511677628657857e-10,12900983.730628492,12900983.73062849,1.6795081967213117,366
2014,pre_arb,11028813.55321882,696084.0119574727,11724897.565176293,1.5264000000000002,125
2015,arb,6970999.508832956,5903005.864302051,12874005.373135006,1.5473684210526317,228
2015,free_agent,4.206966391946904e-09,12596558.347357923,12596558.347357927,1.5140211640211638,378
2015,pre_arb,12359689.273678897,701983.8162656593,13061673.089944554,1.5699248120300753,133
2016,arb,6624197.675419901,5943083.509346118,12567281.184766017,1.4410788381742738,241
2016,free_agent,2.2648648442624376e-10,13565867.479374038,13565867.479374042,1.5555858310626702,367
2016,pre_arb,14115957.844826203,702442.0590685012,14818399.903894704,1.699212598425197,127
2017,arb,7440738.893455608,6673036.935474819,14113775.828930426,1.5817777777777777,225
2017,free_agent,-1.2214066552334144e-09,14161786.291667083,14161786.291667081,1.5871584699453551,366
2017,pre_arb,12776535.883573228,693481.5086531491,13470017.392226378,1.5096296296296297,135
2018,arb,7025477.400881762,6876439.029529365,13901916.430411126,1.5827309236947793,249
2018,free_agent,-8.741677654497999e-10,12648693.347288277,12648693.347288277,1.4400516795865632,387
2018,pre_arb,11861095.553182771,705533.397781346,12566628.950964117,1.4307086614173228,127
2019,arb,8600779.98114951,7129832.617709721,15730612.59885923,1.6008583690987124,233
2019,free_agent,-2.2470414473409466e-09,16195803.12093195,16195803.120931948,1.6481994459833795,361
2019,pre_arb,14382589.774254782,707349.4345347343,15089939.208789516,1.535658914728682,129
2020,arb,3471828.1718733613,3968338.0424600355,7440166.214333396,0.8857142857142857,182
2020,free_agent,6.1405884040581e-11,6769381.998152801,6769381.998152801,0.8058608058608059,273
2020,pre_arb,6571324.109193095,701167.1263815732,7272491.235574667,0.8657534246575342,73
2021,arb,7545722.560808049,6793696.504553806,14339419.065361856,1.4388185654008439,237
2021,free_agent,-2.628592687232472e-09,15165713.007598817,15165713.007598815,1.5217289719626168,428
2021,pre_arb,13771714.089107899,698681.7296627732,14470395.818770671,1.4519607843137254,102
2022,arb,8274097.806777646,7097011.587077339,15371109.393854983,1.4857142857142858,245
2022,free_agent,-1.231259794761065e-09,16291612.739809526,16291612.739809526,1.5746867167919798,399
2022,pre_arb,13226683.452764478,699133.575517859,13925817.028282337,1.346017699115044,113
2023,arb,8504405.96814688,7491339.253712384,15995745.221859263,1.5187772925764194,229
2023,free_agent,-2.167426929291752e-09,14798419.250860592,14798419.250860589,1.4050925925925926,432
2023,pre_arb,14973424.06861658,700653.1718336476,15674077.240450228,1.488235294117647,119
2024,arb,8022211.431120321,7387940.401748963,15410151.832869282,1.4461538461538461,247
2024,free_agent,-9.935977588216942e-10,15293222.713604242,15293222.71360424,1.4351807228915663,415
2024,pre_arb,17145530.977686018,693328.7878655804,17838859.765551597,1.6740740740740743,108
